,English,German,Arabic
8828,Did you think about it?,Hast du darüber nachgedacht?,أفكّرت في الأمر؟
8829,He kissed her.,Er hat sie geküsst.,قبّلها.
8830,"Oh my God, I can't believe this.","Oh mein Gott, ich kann das nicht glauben.",يا إلهي، أنا لا أصدق هذا.
8831,There's something I forgot to say.,"Es gibt etwas, das ich vergessen habe zu sagen.",ثمّة ما نسيت قوله.
8832,Her son called from New York.,Ihr Sohn rief aus New York an.,اتصل ابنها من نيويورك.
8833,Please drive carefully.,Bitte fahren Sie vorsichtig.,قد بحذر من فضلك.
8834,She has beautiful eyes.,Sie hat schöne Augen.,لديها عينان جميلتان.
8835,I just arrived now.,Ich bin gerade angekommen.,وصلت للتوّ.
8836,You have no fever.,Du hast kein Fieber.,ليس لديك أي حُمّى.
8837,human rights defenders educators environmentalists.,Menschenrechtsverteidiger Erzieher von Umweltschützern.,مدافعو حقوق الانسان تربويون بيييون
8838,Turn off the sprinklers.,Schalten Sie die Sprinkler ab.,أقفل المرشّات.
8839,He's my father.,Er ist mein Vater.,إنه والدي.
8840,her spirits are lifted however when she speaks about women laughing at our astonishment in seeing so many girls at esi she brags.,"Ihre Stimmung wird jedoch aufgehoben, wenn sie über Frauen spricht, die über unser Erstaunen lachen, wenn sie so viele Mädchen bei Esi sieht, die sie prahlt.",و لكن ترتفع معنوياتها عندما تتحدث عن النساء تهزا ياسمين من دهشتنا امام العدد الكبير للطالبات في المدرسة العليا للاعلام العالي فتقول بكل اعتزاز
8841,My father has gone to China.,Mein Vater ist nach China gegangen.,لقد ذهب أبي إلى الصين.
8842,It's too hot.,Es ist zu heiß.,الجو حار جداً
8843,Don't yell at me.,Schrei mich nicht an.,لا تصرخ في وجهي.
8844,Do you promise?,Versprichst du es?,أتعدني؟
8845,I have no memory of what happened.,"Ich habe keine Erinnerung an das, was passiert ist.",لا أتذكر ما حصل.
8846,Tom hopes you're able to attend his party.,"Tom hofft, dass du an seiner Party teilnehmen kannst.",يأمل توم بأن تكون قادراً على حضور حفلته
8847,I'll admit I'm wrong.,"Ich gebe zu, ich liege falsch.",أعترف أني مخطئ.
8848,th place veronica carmen and sara who managed to free themselves from abusive husbands video life stories marked by domestic violence.,"ie Veronica Carmen und Sara, die es geschafft haben, sich von missbräuchlichen Ehemännern zu befreien, Video-Lebensgeschichten, die von häuslicher Gewalt geprägt sind.",المرتبة الخامسة نجحت كل من فيرونيكا وكارمن وسارة في التحرر من زوجين متعسفين فيديو قصص حياة عصف بها العنف المنزلي
8849,I can come tomorrow.,Ich kann morgen kommen.,بإمكاني القدوم غداً.
8850,That old woman lives by herself.,Diese alte Frau lebt allein.,تلك المرأة العجوز تعيش بمفردها.
8851,You told me so yourself.,Du hast es mir selbst gesagt.,أخبرتني ذلك بنفسك.
8852,Have you ever gone skinny dipping?,Bist du schon mal dünn getaucht?,هل سبق و ذهبت للسباحة عارياً.
8853,This letter is addressed to you.,Dieser Brief ist an Sie gerichtet.,هذه الرسالة موجهة إليك.
8854,firas atraqchi reports that journalists beaten equipment seized as they filmed protesters on jumhuriya bridge in baghdad feb iraq.,"firas atraqchi berichtet, dass Journalisten Ausrüstung geschlagen haben, während sie Demonstranten auf der Brücke von Jumhuriya in Bagdad feb iraq filmten.",انباء عن الاعتداء على صحفيين ومصادرة معداتهم ذلك لانهم صوروا المتظاهرين عند جسر الجمهورية
8855,It's good talking to you.,"Es ist gut, mit dir zu reden.",من الجميل محادثتك.
8856,no regrets.,Kein Bedauern.,لا ندم
8857,Everything was better in the past.,In der Vergangenheit war alles besser.,كل شيء كان أفضل في الماضي.
8858,American forces announced the completion of their mission in Iraq.,Amerikanische Truppen kündigten den Abschluss ihrer Mission im Irak an.,أعلنت القوات الأمريكية انتهاء مهمتها في العراق.
8859,Those who know him like him.,"Die, die ihn kennen, mögen ihn.",من عرفه، أحبه.
8860,Let's begin.,Fangen wir an.,لنبدأ.
8861,These pearls look real.,Diese Perlen sehen echt aus.,تبدو تلك اللآلئ حقيقية.
8862,They lost their trust in Tom.,Sie haben ihr Vertrauen in Tom verloren.,لقد فَقَدوا ثِقَتَهُم في توم.
8863,youth media project syrian documents reported on his death and syrian news blog yalla souriya called him the spirit of syria.,Jugend-Medien-Projekt syrische Dokumente über seinen Tod berichtet und syrische Nachrichten Blog yalla souriya nannte ihn den Geist der Syria.,تم نشر خبر وفاته بواسطة مشروع الشباب الاعلامي المركز السوري للتوثيق وايضا مدونة الاخبار السورية يللا سوريا التي اطلقت عليه اسم روح سوريا
8864,I'm 19.,Ich bin 19.,أنا في 19
8865,Be quiet during the lesson.,Seien Sie ruhig während der Lektion.,اِبقَ هادئاً عند شرح الدرس.
8866,zahra for president.,Zahra für Präsident.,زهرة تترشح
8867,"You'll feel better tomorrow, I promise.","Morgen geht's dir wieder besser, versprochen.",ستشعر بتحسّن غدا، أعدك بذلك.
8868,It's improved.,Es hat sich verbessert.,لقد تحسنت.
8869,My father is a teacher.,Mein Vater ist Lehrer.,أبي مدرّس.
8870,"The mobile phone you have dialed is either switched off or outside the coverage area, please try again later.","Das Handy, das Sie gewählt haben, ist entweder ausgeschaltet oder außerhalb des Abdeckungsbereichs, bitte versuchen Sie es später noch einmal.",الهاتف المتحرك الذي طلبته مغلق أو خارج نطاق الخدمة حالياً، يرجى الاتصال لاحقاً.
8871,You shouldn't judge a person by his appearance.,Man sollte einen Menschen nicht nach seinem Aussehen beurteilen.,يجب عليكَ أن لا تحكم علىَ شخص من مظهرهُ.
8872,They are happy.,Sie sind glücklich.,إنهم سعداء
8873,in spain the abdication by two european kings within few months have unleashed speculations about a possible stepping down by king juan carlos in favour of his son felipe.,In Spanien hat die Abdankung zweier europäischer Könige innerhalb weniger Monate Spekulationen über einen möglichen Rücktritt von König juan carlos zugunsten seines Sohnes felipe entfesselt.,في اسبانيا اطلق تنازل اثنين من ملوك اوروبا عن العرش العنان لتكهنات حول ما اذا كان الملك خوان كارلوس سيقدم على التنازل عن العرش لابنه فيليب
8874,That's too much.,Das ist zu viel.,هذا كثير.
8875,the primary organizer of the initiative is the chilean ngo derechos digitales in collaboration with its partner the via libre foundation as well as a host of other team members and institutional and logistical partner organizations including global voices online as a media partner.,"Hauptorganisator der Initiative ist der chilean ngo derechos digitales in Zusammenarbeit mit seinem Partner die via libre Stiftung sowie eine Vielzahl weiterer Teammitglieder und institutioneller und logistischer Partnerorganisationen, einschließlich globaler Online-Stimmen als Medienpartner.",المنظم الرييسي للمبادرة منظمة غير حكومية في شيلي ديريتشوس ديخيتاليس بالتعاون مع شركاءها منظمة ليبرا الحرية الى جانب مستضيفي اعضاء الفريق الاخرين والمنظمات الشريكة الموسسية واللوجستية من بينها الاصوات العالمية كشريك اعلامي
8876,When will she return home?,Wann kehrt sie nach Hause zurück?,متى ستعود إلى المنزل؟
8877,The budget is extremely small.,Der Haushalt ist äußerst klein.,الميزانية قليلة جدا.
8878,postage stamps featuring some of kyrgyzstan s wild mushrooms edible and non edible images taken from ianbek kg used with permission.,Briefmarken mit einigen von Kyrgyzstan wilde Pilze essbare und nicht essbare Bilder aus ianbek kg mit Genehmigung verwendet.,طوابع بريديه عليها صور للفطر البري في قرجيزستان منها ما هو صالح للاكل وما لا يوكل تم الحصول على الصور من موقع واستخدمت باذن
8879,I love parties.,Ich liebe Partys.,أحب الحفلات.
8880,zambia will be sending light welterweight boxer gilbert choombe judoka boas munyonga swimmers jade howard and zane jordan and runners prince mumba gerald phiri and chauness choosha.,Zambia wird leichtes Welterweight Boxer Gilbert Choombe Judoka Boas munyonga Schwimmer Jade Hower und Zane Jordan und Läufer Prinz Mumba Gerald Phiri und Chauness Choosha senden.,سترسل زامبيا ملاكم الوزن الخفيف جيلبرت شومبي لاعب الجيدو بواس مانيونجا السباحين جايد هوارد وزين جوردان والعدايين برينس مومبا جيرالد فيري وشاونيس شووشا
8881,I have to go home.,Ich muss nach Hause.,يجب أن أذهب إلى البيت
8882,the internet freedom translathon is part of the summer of internet freedom a series of events taking place this august to encourage internet users to continue the global conversation about the role of the internet in our lives and how we can keep it free and open it is also a way to engage with the declaration and to show public support for internet freedom anyone can host offline or online events anywhere around the world.,"die Internetfreiheit translathon ist Teil des Sommers der Internetfreiheit eine Reihe von Veranstaltungen, die in diesem August stattfinden, um Internetnutzer zu ermutigen, das globale Gespräch über die Rolle des Internets in unserem Leben fortzusetzen und wie wir es frei und offen halten können, ist auch eine Möglichkeit, sich mit der Erklärung zu befassen und öffentliche Unterstützung für Internetfreiheit zu zeigen, dass jeder Offline- oder Online-Events überall auf der Welt veranstalten kann.",ماراثون الترجمة هذا سيكون جزء من صيف حرية الانترنت سلسلة من الاحداث والفعاليات التي ستجرى في شهر اغسطس اب لتشجيع مستخدمي الانترنت على الحفاظ على استمرار الحديث حول دور الانترنت في حياتنا وكيف يمكننا ان نحافظ عليها اي الانترنت شبكة حرة ومفتوحة كما تعتبر هذه الفعاليات طريقة ووسيلة للتفاعل مع الاعلان واظهار الدعم العام من اجل حرية الانترنت يمكن لاي شخص ان يستضيف فعاليات على الانترنت او على الارض بعيدا عن الانترنت في اي مكان حول العالم
8883,I am loved by all my family.,Ich werde von meiner ganzen Familie geliebt.,تحبني كل عائلتي.
8884,"One day, she told me that she wanted a pet cat.","Eines Tages erzählte sie mir, dass sie eine Katze wollte.",أخبرتني ذات يوم أنها أرادت قطة أليفة.
8885,source ifex s toolkit.,source ifex s toolkit.,المصدر دليل افيكس لعام
8886,We don't know him.,Wir kennen ihn nicht.,نحن لا نعرف عنه شيئاً.
8887,a monthly zebu market in ambalavao madagascar by looking poetry on flickr cc by nc nd.,"ein monatlicher zebu Markt in ambalavao madagascar, indem sie Poesie auf flickr cc von nc nd suchen.",سوق شهري لماشية الزيبو في امبالافاو مدغشقر تصوير لوكينج فور بويتري على فليكر تحت رخصة المشاع الابداعي
8888,Do you know how to get to Tom's house?,"Weißt du, wie man zu Toms Haus kommt?",هل تعرف كيف أصل إلى منزل توم؟
8889,Do you know me?,Kennst du mich?,هل تعرفني؟
8890,When was this temple built?,Wann wurde dieser Tempel gebaut?,متى بُني هذا المعبد؟
8891,Everyone has both strong and weak points.,Jeder hat sowohl starke als auch schwache Punkte.,كل شخص لديه كلاً من نقاط الضعف والقوة.
8892,Tom doesn't even know I exist.,"Tom weiß nicht einmal, dass ich existiere.",توم لا يعرف بأني موجود.
8893,We put up the flags on national holidays.,Wir haben die Flaggen an Feiertagen aufgestellt.,نرفع الأعلام في الأعياد الوطنية.
8894,This is her house.,Das ist ihr Haus.,هذا بيتها.
8895,mariana mespinozae es from mexico said that traveling is the best way to spend her time.,"Mariana mespinozae es aus Mexiko sagte, dass Reisen der beste Weg ist, um ihre Zeit zu verbringen.",ماريانا من المكسيك قالت ان السفر هو افضل طريقة لقضاء وقتها
8896,This is what we want to know.,Das wollen wir wissen.,هذا ما نريد أن نعرفه.
8897,How do you do that?,Wie machst du das?,كيف تفعل ذلك؟
8898,I showered before breakfast.,Ich habe vor dem Frühstück geduscht.,استحممت قبل تناول الإفطار.
8899,I was laughed at by him.,Er hat mich ausgelacht.,ضحك عليّ.
8900,I have a question I need to ask you.,"Ich habe eine Frage, die ich Ihnen stellen muss.",لدي سؤال أريد سؤالك عنه.
8901,I'm going to go visit my uncle tomorrow.,Ich werde meinen Onkel morgen besuchen gehen.,أنوي زيارة عمّي في الغد.
8902,I will make her happy.,Ich werde sie glücklich machen.,سأسعدها.
8903,as draws to a close dear reader here at team advox we ve decided to suggest resolutions for presented in the form of a review of the tools and strategies to protect yourself online this is a selection of the best ways and methods we ve come across in remember that no one tactic will ever provide you with security and safety online at all times stay armed with your common sense.,"als zieht zu einem engen lieben Leser hier bei team advox we ve beschlossen, Entschließungen für in Form einer Überprüfung der Werkzeuge und Strategien, um sich online zu schützen vorgestellt vorschlagen dies ist eine Auswahl der besten Möglichkeiten und Methoden, die wir in Erinnerung, dass keine Taktik jemals bieten Ihnen mit Sicherheit und Sicherheit online zu jeder Zeit mit Ihrem gesunden Menschenverstand bewaffnet bleiben.",مع انتهاء عام قررنا نحن فريق دفاع الاصوات العالمية ان نقترح على قراينا الاعزاء عشرة حلول لعام مقدمة في شكل استعراض لادوات واستراتيجيات لتحمي بها نفسك على الانترنت هذه باقة مختارة لافضل الطرق والوسايل التي جربناها في عام تذكروا انه لا يوجد تكتيك واحد سيقدم لك امن وحماية على الانترنت بنسبة في جميع الاوقات تسلح بحدسك وادراكك السليم
8904,He painted his bicycle red.,Er malte sein Fahrrad rot.,طلى دراجته بالأحمر.
8905,They are talking about this and that.,Sie reden darüber und darüber.,إنهم يتحدثون عن هذا و ذاك.
8906,I want to sleep.,Ich will schlafen.,أريد أن أنام.
8907,May I take a photo?,Darf ich ein Foto machen?,أيمكنني أخذ صورة؟
8908,Is it windy?,Ist es windig?,هل الجو عاصف؟
8909,Do you think fish can hear?,"Glaubst du, dass Fische hören können?",هل تظن أن السمك يسمع؟
8910,I love Arabic.,Ich liebe Arabisch.,أحب اللّغة العربية.
8911,She despises him only because he is poor.,"Sie verachtet ihn nur, weil er arm ist.",تبغضه لأنه فقير فحسب.
8912,I don't know if I have the time.,"Ich weiß nicht, ob ich Zeit habe.",لا أعرف إذا كان لدي الوقت الكافي لذلك.
8913,"It's doable, but not easy.","Es ist machbar, aber nicht einfach.",يمكن عمله، لكنه ليس سهلا.
8914,She bent down.,Sie beugte sich nach unten.,إنحنت.
8915,I don't care if it snows.,"Es ist mir egal, ob es schneit.",لا يهمني إذا هطل الثلج.
8916,Its color is red.,Die Farbe ist rot.,لونه أحمر.
8917,You must find work.,Du musst Arbeit finden.,أنتَ لابد أن تجد عملاً.
8918,I don't need that.,Das brauche ich nicht.,لا أحتاج لهذا.
8919,I don't come here very often.,Ich komme nicht oft hierher.,لا آتي إلى هنا كثيرا.
8920,the explanation which comes with the video reads ar.,"die Erklärung, die mit dem Video kommt, liest ar.",تفسير الحدث كما هو موجود على وصف الفيديو
8921,keep websites and governments from tracking you online use tor tor is a popular free browser that uses a global volunteer network of servers that helps you surf the internet securely while concealing your location from network surveillance and traffic analysis tor can also be downloaded onto a usb drive and used from any computer.,"Halten Sie Websites und Regierungen von der Verfolgung Sie Online-Nutzung Tor Tor ist ein beliebtes freies Browser, das ein globales Freiwilligennetzwerk von Servern verwendet, die Ihnen hilft, das Internet sicher zu surfen, während Sie Ihren Standort vor Netzwerküberwachung und Verkehrsanalyse Tor verbergen, kann auch auf ein USB-Laufwerk heruntergeladen und von jedem Computer verwendet werden.",امنع المواقع والحكومات من تعقبك على الانترنت استخدم تور برنامج تور متصفح مجاني يستخدم شبكة خوادم عالمية متطوعة تساعدك على تصفح الانترنت بامان مع اخفاء مكانك عن اجهزة وانظمة شبكات التعقب وتحليل حركة ونشاط الانترنت يمكن ايضا تحميل تور على مشغلات يو اس بي المحمولة واستخدامها على اي جهاز حاسوب
8922,I have a pain in my shoulders.,Ich habe Schmerzen in den Schultern.,لدي ألم في أكتافي.
8923,north mali indirectly in the hands of aqim.,Nord-Mali indirekt in den Händen von aqim.,شمال مالي في يد القاعدة بشكل غير مباشر
8924,some chinese believe that drinking deer blood can prolong life chinasmack translated a local report about the cruel business deer farm in china warning graphic.,"Einige Chinesen glauben, dass das Trinken von Hirschblut das Leben verlängern kann Chinasmack übersetzt einen lokalen Bericht über die grausame Geschäft Hirschfarm in China Warnung Grafik.",يومن بعض الصينيون ان شرب دم الغزال يطيل العمر يترجم بالانجليزية لنا موقع تشاينا سماك تقرير محلي حول هذه التجارة الوحشية في مزرعة غزلان في الصين تحذير صور حية
8925,She left her gloves in the car.,Sie ließ ihre Handschuhe im Auto.,تركت قفازيها في السيارة.
8926,My dream is to become a firefighter.,"Mein Traum ist es, Feuerwehrmann zu werden.",أريد أن أكون رجل إطفاء.
8927,Prices went up.,Die Preise stiegen.,ارتفعت الأسعار.
8928,I saw a group of tourists who spoke Turkish.,"Ich sah eine Gruppe von Touristen, die Türkisch sprachen.",لقد رأيت مجموعة من السياح الذين يتكلمون التركية .
8929,I'll give you a good piece of advice.,Ich gebe Ihnen einen guten Rat.,سأنصحك نصيحة مفيدة.
8930,I'll get in touch with you by phone tomorrow.,Ich melde mich morgen per Telefon.,سأتواصل معك عبر الهاتف غدا.
8931,There were three men.,Es waren drei Männer.,كان هنالك ثلاثة رجال.
8932,That was the best day of my life.,Das war der beste Tag meines Lebens.,كان ذلك أجمل يوم في حياتي.
8933,Tom is absent.,Tom ist abwesend.,توم غائب.
8934,yemeni anti street harassment campaign safe streets posted on its facebook page the launch of a new book to combat sexual harassment in the country.,yemeni Anti-Street-Belästigung Kampagne sichere Straßen auf seiner Facebook-Seite die Einführung eines neuen Buches zur Bekämpfung der sexuellen Belästigung im Land veröffentlicht.,نشرت الحملة اليمنية لمكافحة التحرش في الشوارع شوارع امنة على صفحتها في فيسبوك خبر اطلاق كتاب جديد لمكافحة التحرش الجنسي في البلاد
8935,I decided to tell her that I love her.,"Ich beschloss, ihr zu sagen, dass ich sie liebe.",قررت أن أخبرها بأني أحبها.
8936,Come with me.,Komm mit mir.,تعال معي.
8937,Were you sleeping?,Hast du geschlafen?,هل كنت نائما؟
8938,Tom bought a pair of leather motorcycle gloves.,Tom kaufte sich ein Paar Motorradhandschuhe aus Leder.,اشترى توم زوج قفازات جلدية للدراجة النارية
8939,this post is part of our special coverage tunisia revolution.,Dieser Beitrag ist Teil unserer speziellen Berichterstattung Tunisien Revolution.,هذا المقال جزء من تغطيتنا الخاصة بثورة تونس
8940,I first used a computer about 40 years ago.,Ich habe vor 40 Jahren zum ersten Mal einen Computer benutzt.,أول استخدام لي للحاسوب كان منذ 40 سنة خلت.
8941,this post is part of our special coverage syria protests.,Dieser Beitrag ist Teil unserer Sonderberichterstattung Syria Proteste.,هذا المقال جزء من تغطيتنا الخاصة لثورة سوريا ٢٠١١ ٢٠١٣
8942,He began to feel ill.,Er begann sich krank zu fühlen.,بدأ يشعر بالمرض.
8943,Learn these names by heart.,Lerne diese Namen auswendig.,احفظ هذه الأسماء عن ظهر قلب.
8944,Tom doesn't know me.,Tom kennt mich nicht.,توم لا يعرفني
8945,"You swim well, don't you?","Du schwimmst gut, nicht wahr?",تسبح بمهارة ، أليس كذلك؟
8946,Tom and Mary are playing mahjong.,Tom und Maria spielen Mahjong.,ماري وتوم يلعبون ما جونج.
8947,Is this your umbrella?,Ist das dein Regenschirm?,أهذه المظلة لك؟
8948,Why are you doing this?,Warum tust du das?,لماذا تفعلين هذا؟
8949,You are not our friend.,Du bist nicht unser Freund.,أنت لست صديقنا.
8950,My aunt is older than my mother.,Meine Tante ist älter als meine Mutter.,عمتي أكبر من أمي.
8951,counter of syrian war victims installed in bulgarian capital global voices.,"Gegenmaßnahmen gegen syrische Kriegsopfer, die in bulgarischen globalen Stimmen der Hauptstadt installiert wurden.",تثبيت عداد لضحايا الحرب السورية في العاصمة البلغارية الاصوات العالمية
8952,gv the fall of the ben ali regime revealed talented tunisian cartoonists what do you think of these new talents.,"Gv der Fall des ben ali Regimes offenbart talentierte tunesische Karikaturisten, was halten Sie von diesen neuen Talenten.",الاصوات العالمية اتاح سقوط نظام بن علي الفرصة لظهور رسامي كاريكاتير موهوبين ما رايك في هذه المواهب الجديدة
8953,Tom saw something strange.,Tom sah etwas Seltsames.,توم رأى شيئا غريبا.
8954,you can find all medigo s infographics on its website.,Sie können alle medigo s Infografiken auf seiner Website finden.,يمكنك الاطلاع على جميع انفوغراف على موقعها الالكتروني
8955,Tom hid under the table.,Tom versteckte sich unter dem Tisch.,اختبأ توم تحت الطاولة.
8956,I don't believe he is a lawyer.,"Ich glaube nicht, dass er Anwalt ist.",لا أصدق أنه محام.
8957,Tom thinks the same way.,Tom denkt genauso.,يفكّر توم بنفس الطريقة.
8958,You're such a cute boy.,Du bist so ein süßer Junge.,يا لك من ولد جميل!
8959,It is neither good nor bad.,Es ist weder gut noch schlecht.,انها لا جيدة ولا سيئة.
8960,the hot pot of chinese politics is still boiling madly after the th national congress of the communist party and the leadership transition that took place in beijing on november many see the composition of the new politburo standing committee as a defeat for outgoing president hu jintao who failed to see his reformist allies promoted moreover hu stepped down as the chairman of the central military commission sooner than expected were chinese conservatives stronger than expected or did something weaken the reformists.,"Der heiße Topf chinesischer Politik kocht immer noch verrückt nach dem th nationalen Kongress der kommunistischen Partei und dem Führungswechsel, der im Beijing am November stattfand, sehen viele die Zusammensetzung des neuen Politbüro standing Committee als eine Niederlage für scheidenden Präsidenten hu jintao, der nicht sah, dass seine reformistischen Verbündeten gefördert darüber hinaus hu trat zurück, als der Vorsitzende der zentralen Militärkommission früher als erwartet waren chinesische Konservative stärker als erwartet oder etwas schwächen die Reformisten.",لا تزال السياسة الصينية تغلي بجنون بعد الموتمر الوطني الثامن عشر للحزب الشيوعي وانتقال القيادة بالعربية الذي جرى في بيكين يوم من نوفمبر تشرين الثاني يرى الكثيرون التركيب الجديد لللجنة الدايمة للمكتب السياسي للحزب الشيوعي الصيني هزيمة للرييس المنتهية ولايته هو جينتاو بالعربية الذي فشل في روية التجديد لانصاره الاصلاحيين علاوة على ذلك انسحب هو من رياسة اللجنة العسكرية المركزية مبكرا عما كان متوقعا هل يعد المحافظون الصينيون اقوى من المتوقع ام اضعف شيء ما الاصلاحيين؟ جميع الروابط بالانجليزية ما لم يذكر غير ذلك
8961,No one trusts him any more.,Niemand vertraut ihm mehr.,لم يعد يثق به أحد بعد الآن.
8962,See you again.,Wir sehen uns wieder.,أراك مجدداً.
8963,How old is he?,Wie alt ist er?,كم عمره؟
8964,This is your key.,Das ist dein Schlüssel.,هذا مفتاحك.
8965,Write that down.,Schreib das auf.,اكتب ذلك.
8966,He promised to marry her.,"Er versprach, sie zu heiraten.",وعد بأن يتزوجها.
8967,Was the book interesting?,War das Buch interessant?,هل كان الكتاب شيقاً؟
8968,Ladies first.,Meine Damen zuerst.,السيدات أولاً.
8969,The birds sang.,Die Vögel sangen.,غردت العصافير.
8970,Who died?,Wer ist gestorben?,من توفي؟
8971,Go to your room!,Geh auf dein Zimmer!,إذهب إلىَ غرفتك!
8972,We don't know him.,Wir kennen ihn nicht.,إننا لا نعرفه.
8973,Tom found that he couldn't study with the TV on.,"Tom fand heraus, dass er mit dem Fernseher nicht lernen konnte.",أدرك توم بأنه لا يستطيع الدراسة إن كان التلفاز يعمل.
8974,She hated him.,Sie hasste ihn.,كرهته.
8975,Its color is red.,Die Farbe ist rot.,لونها أحمر.
8976,May I see the telephone directory?,Darf ich das Telefonbuch sehen?,أيمكنني أن أتصفح دليل الهاتف؟
8977,I'll stay there till six o'clock.,Ich bleibe dort bis sechs Uhr.,سأبقى هناك حتى الساعة السادسة.
8978,Whose books are these?,Wessen Bücher sind das?,لمن هذه الكتب؟
8979,Tell him to wait.,"Sag ihm, er soll warten.",أخبره بأن ينتظر
8980,This is a terrible thing.,Das ist eine schreckliche Sache.,ذلك شيءٌ فظيع.
8981,His best friend ratted him out to the authorities.,Sein bester Freund verpfiff ihn an die Behörden.,بلّغ السلطاتِ عنه أفضلُ أصدقائه.
8982,Tom is so rich that even his servants have servants.,"Tom ist so reich, dass selbst seine Diener Diener Diener haben.",توم غنيّ جدا إلى درجة أن لخدمه خدم.
8983,He has been waiting for an hour.,Er wartet schon seit einer Stunde.,انتظر لساعة.
8984,Wait just a moment.,Warte einen Moment.,انتظر لحظة.
8985,iran s new foreign minister mohammad javad zarif has a facebook page where he answers questions he says my children and i update this page the page has more than likes facebook is filtered in iran but used by all presidential candidates.,"iran s neuer Außenminister mohammad javad zarif hat eine Facebook-Seite, wo er beantwortet Fragen er sagt, meine Kinder und ich aktualisieren diese Seite die Seite hat mehr als mag Facebook wird in iran gefiltert, aber von allen Präsidentschaftskandidaten verwendet.",يستخدم وزير خارجية ايران الجديد محمد ظريف فيسبوك عبر صفحة له يجيب فيها عن الاسيلة يقول اقوم انا واولادي بتحديث هذه الصفحة تخطى عدد المتابعين للصفحة على الرغم من الرقابة الصارمة على فيسبوك الا ان جميع المرشحون للرياسة يستخدمونه
8986,You should go see a doctor.,Du solltest zu einem Arzt gehen.,عليك أن تذهب إلى الطّبيب.
8987,You have a big nose.,Du hast eine große Nase.,أنتَ لديكَ أنف كبير.
8988,You must not speak loudly.,Sie dürfen nicht laut sprechen.,يجب ألا تتحدث بصوت عالٍ.
8989,Finally we arrived at the lake.,Endlich kamen wir am See an.,أخيراً وصلنا للبحيرة.
8990,Grab my hand.,Nimm meine Hand.,أمسك يدي.
8991,I am from Egypt.,Ich komme aus Ägypten.,أنا من مصر.
8992,Do you think so?,Findest du?,أتعتقد ذلك؟
8993,I have some questions for you.,Ich habe ein paar Fragen an dich.,لدي بعض الأسئلة لك.
8994,"Don't leave me alone, please.",Lass mich bitte nicht in Ruhe.,لا تتركني لوحدي أرجوك.
8995,the company has a percent share in china s online literature market with million online works primarily in the fantasy palace fighting tomb raiding conspiracy romance genres created by million writers to serve an average of million monthly users.,"das Unternehmen hat einen Prozentanteil an China s Online-Literaturmarkt mit Millionen Online-Arbeiten in erster Linie in der Fantasy-Palast Kampf Grab Razzien Verschwörung Romantik Genres von Millionen Autoren geschaffen, um einen Durchschnitt von Millionen monatliche Nutzer zu dienen.",تسيطر الشركة على حوالي في المية من سوق الادب على الانترنت في الصين بامتلاكها مليون عنوان اغلبها خيالية او تتناول صراعات القصور ونهب المقابر او الموامرات او رومانسية رفعها على الانترنت مليون كاتب بمعدل مليون قاري شهريا
8996,There's a monster under my bed.,Unter meinem Bett ist ein Monster.,هناك وحش تحت سريري.
8997,Can I see this one?,Kann ich das sehen?,أيمكنك أن تُرِيَني ذلك؟
8998,Perhaps it will snow tomorrow.,Vielleicht schneit es morgen.,من الممكن أن تثلج غداً.
8999,Who died?,Wer ist gestorben?,من مات؟
9000,Whose car is this?,Wessen Auto ist das?,لمن هذه السيارة؟
9001,I'm sorry that I can't meet you tonight.,"Tut mir leid, dass ich dich heute Abend nicht treffen kann.",آسف لكني لا أستطيع أن أقابلك الليلة.
9002,I need your advice.,Ich brauche deinen Rat.,أحتاج نصيحتك.
9003,the regime is dead the military carries a corpse on its shoulders it s time to bury it people want change.,"Das Regime ist tot, das Militär trägt eine Leiche auf seinen Schultern, es ist Zeit, es zu begraben, die Menschen wollen Veränderung.",النظام ميت والقوى العسكرية لا تحمل سوى جثة فوق اكتافها وقد حان الوقت لدفنها الشعب يريد تغييرا
9004,the truth is there are hundreds more reasons to come and thousands more reasons that we love the country but we could also boil it down to just one colombia is our home.,"die Wahrheit ist, es gibt Hunderte weitere Gründe zu kommen und Tausende weitere Gründe, dass wir das Land lieben, aber wir könnten es auch auf nur eine kolumbien kochen ist unser Zuhause.",في الحقيقة توجد ميات الاسباب الاخرى لزيارة كولومبيا والاف الاسباب الاخرى لحبنا لهذه البلد لكن يمكننا ان نختزلها في سبب واحد كولومبيا وطننا
9005,Where are you going to eat lunch?,Wo willst du essen?,أين ستأكل طعام الغداء؟
9006,I'm from Australia.,Ich komme aus Australien.,أنا من أُستراليا.
9007,Do you know who I am?,"Weißt du, wer ich bin?",هل تعلم من أنا ؟
9008,iran new wave of repression against bloggers global voices.,iran neue Welle der Repression gegen Blogger globale Stimmen.,ايران موجه جديدة من القمع ضد المدونيين الاصوات العالمية
9009,Let's share the expenses.,Teilen wir die Ausgaben.,دعونا نتقاسم المصاريف.
9010,Can you pause the video for a moment?,Kannst du das Video kurz unterbrechen?,هلا أوقفت الفيديو للحظة؟
9011,Tom doesn't seem to know a lot about Mary.,Tom scheint nicht viel über Maria zu wissen.,لا يبدو بأن توم يعرف الكثير عن ماري.
9012,I'm free now.,Ich bin jetzt frei.,أنا متفرغ الآن
